model,auc_roc,auc_pr,accuracy_0_50,precision_0_50,recall_0_50,f1_0_50,best_threshold,business_value,precision_at_best_threshold,recall_at_best_threshold,f1_at_best_threshold,tp_at_best_threshold,fp_at_best_threshold,fn_at_best_threshold
Logistic Regression,0.8023848477221245,0.2544801311831646,0.8943781942078365,0.2905982905982906,0.24817518248175183,0.2677165354330709,0.28,3575.0,0.23867069486404835,0.5766423357664233,0.3376068376068376,79,252,58
Gradient Boosting,0.7933079536873899,0.24565792271531953,0.9187961385576378,0.425,0.12408759124087591,0.192090395480226,0.27,3425.0,0.23323615160349853,0.583941605839416,0.3333333333333333,80,263,57
Random Forest,0.7786622199848982,0.2183993080577384,0.9040318001135719,0.24193548387096775,0.10948905109489052,0.15075376884422112,0.34,3050.0,0.2348993288590604,0.5109489051094891,0.3218390804597701,70,228,67
AdaBoost,0.7962519326885046,0.236040021725645,0.9045996592844975,0.3176470588235294,0.19708029197080293,0.24324324324324328,0.48,3000.0,0.2708333333333333,0.3795620437956204,0.3161094224924012,52,140,85
Decision Tree,0.7266414368415376,0.22351976735965198,0.899488926746167,0.2872340425531915,0.19708029197080293,0.23376623376623382,0.3,2975.0,0.25327510917030566,0.4233576642335766,0.3169398907103825,58,171,79
KNN,0.78107133867894,0.21433484017312715,0.8597387847813742,0.24056603773584906,0.3722627737226277,0.2922636103151862,0.32,2450.0,0.20518867924528303,0.635036496350365,0.31016042780748665,87,337,50
Extra Trees,0.7793970910790695,0.21587488707917496,0.9006246450880182,0.2564102564102564,0.145985401459854,0.18604651162790697,0.38,2375.0,0.24870466321243523,0.35036496350364965,0.2909090909090909,48,145,89
Gaussian Naive Bayes,0.7880874474128942,0.22018413511435017,0.8864281658148779,0.27007299270072993,0.27007299270072993,0.27007299270072993,0.53,2200.0,0.27611940298507465,0.27007299270072993,0.2730627306273063,37,97,100
